# TITLE= "sv.IP_direct.dat"
# Coord_Sys CYLIND
1.3840e+09 1.0575e+09 1.86e+02   0   3   2
1.3840e+09 1.3840e+09 2.62e+02   1   3   3
1.3840e+09 1.8113e+09 3.88e+02   1   3   4
1.3840e+09 2.3705e+09 1.09e+03   1   3   5
1.3840e+09 3.1023e+09 0.00e+00  -1   3   6
1.3840e+09 4.0600e+09 0.00e+00  -1   3   7
1.3840e+09 5.3135e+09 0.00e+00  -1   3   8
1.3840e+09 6.9539e+09 0.00e+00  -1   3   9
1.3840e+09 9.1007e+09 0.00e+00  -1   3  10
1.3840e+09 1.1910e+10 0.00e+00  -1   3  11
1.3840e+09 1.5587e+10 0.00e+00  -1   3  12
1.3840e+09 2.0399e+10 0.00e+00  -1   3  13
1.3840e+09 2.6697e+10 0.00e+00  -1   3  14
1.3840e+09 3.4939e+10 0.00e+00  -1   3  15
1.3840e+09 4.5726e+10 0.00e+00  -1   3  16
1.3840e+09 5.9843e+10 0.00e+00  -1   3  17
1.3840e+09 7.8318e+10 0.00e+00  -1   3  18
1.3840e+09 1.0250e+11 0.00e+00  -1   3  19
1.3840e+09 1.3414e+11 0.00e+00  -1   3  20
1.3840e+09 1.7555e+11 0.00e+00  -1   3  21
1.3840e+09 2.2975e+11 0.00e+00  -1   3  22
1.3840e+09 3.0068e+11 0.00e+00  -1   3  23
1.3840e+09 3.9350e+11 0.00e+00  -1   3  24
1.3840e+09 5.1499e+11 0.00e+00  -1   3  25
1.3840e+09 6.7398e+11 0.00e+00  -1   3  26
1.3840e+09 8.8205e+11 0.00e+00  -1   3  27
1.3840e+09 1.1544e+12 0.00e+00  -1   3  28
1.3840e+09 1.5107e+12 0.00e+00  -1   3  29
1.8113e+09 3.5000e+08 4.70e+01   0   4   0
1.8113e+09 8.0805e+08 8.97e+01   0   4   1
1.8113e+09 1.0575e+09 1.18e+02   0   4   2
1.8113e+09 1.3840e+09 1.62e+02   0   4   3
1.8113e+09 1.8113e+09 2.45e+02   0   4   4
1.8113e+09 2.3705e+09 3.85e+02   1   4   5
1.8113e+09 3.1023e+09 1.64e+03   1   4   6
1.8113e+09 4.0600e+09 2.66e+03   1   4   7
1.8113e+09 5.3135e+09 0.00e+00  -1   4   8
1.8113e+09 6.9539e+09 0.00e+00  -1   4   9
1.8113e+09 9.1007e+09 0.00e+00  -1   4  10
1.8113e+09 1.1910e+10 0.00e+00  -1   4  11
1.8113e+09 1.5587e+10 0.00e+00  -1   4  12
1.8113e+09 2.0399e+10 0.00e+00  -1   4  13
1.8113e+09 2.6697e+10 0.00e+00  -1   4  14
1.8113e+09 3.4939e+10 0.00e+00  -1   4  15
1.8113e+09 4.5726e+10 0.00e+00  -1   4  16
1.8113e+09 5.9843e+10 0.00e+00  -1   4  17
1.8113e+09 7.8318e+10 0.00e+00  -1   4  18
1.8113e+09 1.0250e+11 0.00e+00  -1   4  19
1.8113e+09 1.3414e+11 0.00e+00  -1   4  20
1.8113e+09 1.7555e+11 0.00e+00  -1   4  21
1.8113e+09 2.2975e+11 0.00e+00  -1   4  22
1.8113e+09 3.0068e+11 0.00e+00  -1   4  23
1.8113e+09 3.9350e+11 0.00e+00  -1   4  24
1.8113e+09 5.1499e+11 0.00e+00  -1   4  25
1.8113e+09 6.7398e+11 0.00e+00  -1   4  26
1.8113e+09 8.8205e+11 0.00e+00  -1   4  27
1.8113e+09 1.1544e+12 0.00e+00  -1   4  28
1.8113e+09 1.5107e+12 0.00e+00  -1   4  29
2.3705e+09 3.5000e+08 2.34e+01   0   5   0
2.3705e+09 8.0805e+08 4.91e+01   0   5   1
2.3705e+09 1.0575e+09 6.83e+01   0   5   2
2.3705e+09 1.3840e+09 9.48e+01   0   5   3
2.3705e+09 1.8113e+09 1.36e+02   0   5   4
2.3705e+09 2.3705e+09 2.13e+02   0   5   5
2.3705e+09 3.1023e+09 3.51e+02   0   5   6
2.3705e+09 4.0600e+09 6.51e+02   1   5   7
2.3705e+09 5.3135e+09 3.41e+03   1   5   8
2.3705e+09 6.9539e+09 0.00e+00  -1   5   9
2.3705e+09 9.1007e+09 0.00e+00  -1   5  10
2.3705e+09 1.1910e+10 0.00e+00  -1   5  11
2.3705e+09 1.5587e+10 0.00e+00  -1   5  12
2.3705e+09 2.0399e+10 0.00e+00  -1   5  13
2.3705e+09 2.6697e+10 0.00e+00  -1   5  14
2.3705e+09 3.4939e+10 0.00e+00  -1   5  15
2.3705e+09 4.5726e+10 0.00e+00  -1   5  16
2.3705e+09 5.9843e+10 0.00e+00  -1   5  17
2.3705e+09 7.8318e+10 0.00e+00  -1   5  18
2.3705e+09 1.0250e+11 0.00e+00  -1   5  19
2.3705e+09 1.3414e+11 0.00e+00  -1   5  20
2.3705e+09 1.7555e+11 0.00e+00  -1   5  21
2.3705e+09 2.2975e+11 0.00e+00  -1   5  22
2.3705e+09 3.0068e+11 0.00e+00  -1   5  23
2.3705e+09 3.9350e+11 0.00e+00  -1   5  24
2.3705e+09 5.1499e+11 0.00e+00  -1   5  25
2.3705e+09 6.7398e+11 0.00e+00  -1   5  26
2.3705e+09 8.8205e+11 0.00e+00  -1   5  27
2.3705e+09 1.1544e+12 0.00e+00  -1   5  28
2.3705e+09 1.5107e+12 0.00e+00  -1   5  29
3.1023e+09 3.5000e+08 1.03e+01   0   6   0
3.1023e+09 8.0805e+08 2.24e+01   0   6   1
3.1023e+09 1.0575e+09 3.18e+01   0   6   2
3.1023e+09 1.3840e+09 4.82e+01   0   6   3
