# Graph from groot11.png, page unknown
3636	2.097
3639	2.048
3647	2.146
3651	2.293
3658	2.146
3666	2.195
3670	2.146
3677	2.293
3685	2.195
3692	2.195
3696	2.195
3704	2.538
3711	2.733
3715	2.733
3719	2.440
3726	2.293
3734	2.146
3741	2.000
3745	1.902
3753	2.097
3756	2.293
3764	1.853
3768	1.853
3775	2.146
3783	1.853
3786	1.559
3794	1.804
3802	2.146
3805	2.195
3813	1.657
3817	1.510
3820	1.559
3824	1.559
3832	1.951
3836	2.293
3839	2.440
3843	2.391
3851	1.706
3858	1.412
3862	1.363
3866	1.314
3873	1.412
3881	1.559
3888	2.391
3892	2.880
3892	2.880
3896	2.929
3903	2.097
3911	1.412
3915	1.314
3918	1.314
3926	1.363
3934	1.657
3941	1.657
3949	1.461
3956	1.412
3960	1.559
3968	2.489
3971	3.027
3971	3.027
3975	3.223
3983	2.342
3986	1.804
3990	1.510
3994	1.412
3998	1.363
4005	1.461
4013	1.608
4020	1.706
4028	1.902
4035	1.804
4043	1.657
4050	1.461
4058	1.608
4066	1.559
4073	1.657
4081	1.804
4088	1.657
4092	1.706
4100	2.880
4104	4.055
4111	2.244
4115	1.951
4122	1.755
4130	1.706
4137	1.755
4145	1.804
4152	1.706
4160	1.608
4160	1.608
4167	1.608
4175	1.657
4182	1.657
4190	1.608
4198	1.706
4205	1.706
4213	1.657
4220	1.559
4228	1.608
4235	1.657
4243	1.657
4250	1.657
4258	1.804
4265	1.902
4273	1.804
4280	1.706
4288	1.755
4296	1.706
4303	1.706
4311	1.853
4318	1.951
4326	2.391
4330	3.076
4334	3.957
4341	4.788
4345	4.152
4345	4.152
4349	3.223
4356	2.097
4360	2.048
4367	1.951
4371	1.951
4375	2.000
4382	2.097
4390	2.097
4397	2.000
4405	2.000
4413	2.048
4420	2.000
4428	1.951
4435	2.000
4443	2.097
4450	2.000
4458	2.146
4465	2.685
4473	2.880
4480	2.489
4488	2.195
4492	2.195
4496	2.146
4503	2.293
4511	2.342
4518	2.293
4526	2.195
4533	2.195
4541	2.342
4548	2.342
4556	2.391
4563	2.391
4571	2.342
4579	2.342
4586	2.440
4594	2.293
4601	2.293
4609	2.391
4616	2.489
4624	2.538
4631	2.538
4639	2.733
4646	2.782
4654	2.782
4662	2.636
4669	2.733
4677	3.223
4684	3.614
4688	3.565
4688	3.565
4692	3.223
4699	2.733
4707	2.685
4714	2.685
4722	2.636
4729	2.538
4737	2.489
4744	2.440
4752	2.440
4760	2.342
4767	2.391
4775	2.391
4782	2.342
4782	2.342
4790	2.440
4797	2.440
4805	2.538
